Terminology,Definition
Local Air Change Index,"Also called the Local Air Change (εa,P) or Ventilation Efficiency at a point, it is the ratio of the nominal age of air (𝜏n) to the local mean age of air (τ p). Higher values imply faster air renewal and potentially better pollutant removal at that local zone."
Local air jets,"local air jets are targeted streams of air delivered to specific body areas or spaces to enhance thermal comfort. These air jets are typically used to correct temperature imbalances in non-neutral ambient environments by directing airflow at the occupant's body, creating a localized cooling or heating effect."
Local boundary conditions,"Local Boundary Conditions refer to the specific constraints or parameters applied at the interface between different regions in a simulation or physical system. These conditions define how heat, mass, or momentum transfer occurs at localized points within the model, ensuring accurate representation of interactions between surfaces, materials, and the surrounding environment. In a computational model of air ventilation clothing, a local boundary condition could define the heat flux between the wearer's skin and the inner surface of the garment."
local exhaust ventilation,"Local Exhaust Ventilation (LEV) is a ventilation strategy that captures and removes airborne contaminants directly at their source, preventing their dispersion into the general workspace. This approach is commonly used in various industries to control exposure to hazardous substances, including dust, fumes, vapors, and gases. A typical LEV system consists of a hood to capture contaminants, ducting to transport the contaminated air, an air cleaner or filter to remove pollutants, a fan to move the air, and an exhaust point to discharge the cleaned air safely."
Local pleasantness of jet,"The degree to which occupants subjectively evaluate the cooling jet as providing a pleasing sensation on the part of the body directly exposed to it. This measure reflects how well the temperature, velocity, and distribution of the air jet contribute to a feeling of localized comfort."
Local purging flow rate (LPFR),"A localized measure derived from the overall purging flow rate that indicates the effective delivery of fresh air to a specific point or zone within a room. LPFR evaluates how well a ventilation system purges contaminants from targeted areas, where a higher LPFR suggests that the point receives a greater proportion of fresh air relative to contaminants."
Local Skin Temperature,"The temperature of a specific body region, which is influenced by environmental conditions, clothing, and PECS. It plays a crucial role in localized thermal perception and whole-body thermal comfort."
Local Stimuli,"External thermal influences (such as heating, cooling, or airflow) applied to a specific body segment to modify its thermal state and comfort level."
Local Thermal Comfort,"The subjective sensation of thermal comfort experienced at a specific body segment, which may differ from whole-body comfort. It is influenced by local skin temperature and targeted thermal stimuli."
Local Thermal Sensation,"The subjective temperature perception experienced by a particular body region, which may differ from sensations felt elsewhere."
Local unpleasantness of jet,"The extent to which occupants perceive the direct impact of the cooling jet as discomforting or irritating. This negative evaluation typically arises when the air jet is too forceful or excessively cool for the area it contacts, leading to localized discomfort."
Lumped Parameter System,"A simplified thermal model that groups complex physical domains into discrete “nodes” with aggregated properties (e.g., environment, seat surfaces, clothing layers, skin). Each node exchanges heat and moisture with the others, facilitating tractable analysis of multi-node occupant–seat–environment interactions."
Manikin based equivalent temperature Teq (manikin),"Manikin-based equivalent temperature is defined as the temperature of a uniform environment in which a thermal manikin, with realistic skin surface temperatures, would exchange the same amount of heat by convection and radiation as it does in the actual, non-uniform environment. This metric is instrumental in assessing thermal comfort, as it accounts for the combined effects of air temperature, radiant temperature, and air movement on the human body"
Mean Age of Air / Local Mean Age of Air,"The average residence time of air from its entry point (e.g., supply diffuser) to a specified location in a room. A lower mean age of air signifies fresher air at that location, whereas a higher mean age suggests slower ventilation effectiveness."
Mean distal skin temperature,"Mean Distal Skin Temperature refers to the average temperature of the skin on the body's distal regions, such as the hands, fingers, feet, and toes. These areas are more sensitive to thermoregulation and serve as key indicators of peripheral blood circulation and thermal comfort."
Mean draught risk (DR),An averaged index quantifying the likelihood of draft-induced discomfort across multiple body regions or multiple occupants. It aggregates local draught risk assessments into one overall measure for a given environment.
Mixing Ventilation,"Mixing ventilation is a strategy where conditioned air is supplied at high velocities to a space, promoting the mixing of supply air with room air. This process results in a uniform distribution of air temperature, humidity, and quality throughout the room. Mixing ventilation is commonly used in various applications, including offices, classrooms, and industrial spaces, to maintain consistent environmental conditions."
Multi-Agent Controls Systems,"Multi-Agent Control Systems involve multiple intelligent agents, each capable of performing some level of control, and working collaboratively to achieve a specific set of system-wide objectives. In the context of PECS, MACS could be used to optimize various aspects like temperature, lighting, and air quality across different zones or settings, enhancing both efficiency and user comfort."
multi-nodal human thermal comfort numerical model,"A computational approach that segments the human body into multiple “nodes,” each with distinct thermal and physiological properties. This model predicts how each body region responds to environmental conditions, offering detailed insights into overall thermal comfort."
"Multi-Objective Optimization
 (MOOP) problem","This problem involves optimizing two or more conflicting objectives simultaneously under a given set of constraints. In intelligent building systems, this could relate to optimizing for energy efficiency while maximizing user comfort, requiring trade-offs between different comfort parameters and energy usage."
Multi-segment physiology,"Multi-segment physiology in a broader sense refers to the scientific study of how various parts of the body respond independently to environmental stimuli, focusing on the differential thermal, mechanical, and physiological behaviors of distinct body segments. This field examines how different body parts—like the head, torso, arms, and legs—react uniquely to changes in temperature, pressure, and other factors."
Neural Network controls,"Neural Network controls utilize artificial neural networks for controlling dynamic systems. These controls are a form of adaptive control that employs machine learning techniques to model complex relationships between inputs and outputs or to predict future states of a system. In building environments, NN controls can adaptively manage energy consumption and maintain comfort levels by learning from historical data and real-time feedback."
Neutral temperature,"Neutral temperature is defined as the ambient temperature at which the majority of people feel neither too warm nor too cold, experiencing thermal comfort. This temperature is used as a benchmark in various thermal comfort models to ensure environments are optimized for human comfort."
Non-Target Segments,Body regions that do not receive direct thermal stimuli from a PECS but may still be indirectly affected by changes in overall body heat distribution.
Odor intensity,"Odor intensity is the perceived strength or magnitude of a smell within an environment. It reflects how potent or noticeable an odor is to an individual and is typically evaluated using subjective scales. This measure can be influenced by the concentration of odorants, airflow conditions, humidity, and individual sensitivity."
Operation time,Operation Time refers to the duration for which a PECS or any other thermal comfort or air quality control device remains actively functioning. It is a critical factor in determining the effectiveness of such systems.
Outgoing Heat Flux by Seat Ventilation,it is the heat and moisture extracted from the occupant–seat interface by the seat ventilation system. This outflow helps regulate local temperature and humidity in the contact region.
Overall Thermal Sensation,"This is the integrated, subjective perception of the thermal environment that accounts for the combined sensations from all body regions. It reflects the general feeling of warmth or coldness experienced by an individual, providing an overall index of thermal comfort or discomfort."
Partial thermal sensation,"Partial Thermal Sensation refers to the subjective perception of warmth or coolness in a specific body region rather than the whole body. It is influenced by localized environmental factors, airflow, radiant heat, and contact with surfaces."
Partial-Body Cooling,"This involves applying cooling stimuli to only a selected portion of the body rather than the entire body. In practical terms, it means that only a specific area (e.g., the face or hands) receives cooling, which can help alleviate thermal discomfort without altering the thermal state of the whole body."
Partial-Body Heating,"This is the targeted application of heat to a specific area of the body, rather than heating the entire body uniformly. In extremely cold environments, partial-body heating is used to improve comfort by warming key body regions that contribute significantly to overall thermal sensation while minimizing the risk of overheating other areas."
passive contaminents,"These are substances (such as tracer gases or pollutants) introduced into the airflow that do not participate in chemical reactions or influence the fluid dynamics. They are simply advected and diffused by the airflow, allowing researchers to study contaminant dispersion patterns without the added complexity of reactive behavior."
Perceived Air Quality,"Perceived Air Quality refers to the overall subjective evaluation of the air within an environment, as experienced by its occupants. This perception is shaped by sensory inputs such as odor, temperature, humidity, and airflow, and may not always align directly with objective measurements of air quality. It reflects how fresh, clean, and comfortable the air feels, influencing overall satisfaction and well-being in indoor spaces."
Perceptual heat strain index,Measures the thermal strain in individuals through the thermal sensation and the Borg Rating of Perceived Exertion for physical activity intensity level
Personal air utilisation efficiency (PAUE),"Personal Air Utilization Efficiency (PAUE) is a performance metric that quantifies the fraction of the supplied airflow from PECS that is effectively inhaled by an occupant. It represents the system's effectiveness in delivering personalized air directly to the breathing zone while minimizing dispersion and energy losses.
 PAUE = (Vinhaled / Vsupplied) * 100 (%)
 ​Where:
 Vinhaled (L/s or m³/s) = Volume flow rate of inhaled personalized air
 Vsupplied (L/s or m³/s) = Total volume flow rate of personalized air supplied by the system"
Personal Exposure Effectiveness,"Personal exposure effectiveness is a measure of how well a PECS delivers its intended thermal benefits directly to an individual. It reflects the system's ability to overcome the natural thermal boundary (or plume) created by the body so that the cooling or heating effect reaches the targeted area without causing discomfort, such as draft-induced irritation."
Personal Exposure Effectiveness,"A performance metric for personalized ventilation, quantifying how effectively clean or conditioned air is delivered to an occupant’s breathing zone compared to the ambient air distribution. Higher values indicate a greater reduction in pollutant or thermal discomfort exposure."
Personal Exposure Effectiveness (PEE) index,"The Personal Exposure Effectiveness (PEE) Index is a metric used to assess the efficiency of a personalized ventilation (PV) system in delivering clean air directly to an individual's breathing zone while minimizing exposure to ambient pollutants. It quantifies how much of the supplied fresh air is actually inhaled by the user compared to the surrounding environment. A higher PEE index indicates more effective air delivery, leading to improved inhaled air quality and reduced exposure to contaminants.
 
 PEE = (Croom - CBz)/(Croom - CPV)*100 (%)
 C room = Contaminant concentration in the general room air
 CBz = Contaminant concentration in the inhaled air (breathing zone)
 C𝑃𝑉 = Contaminant concentration in the supplied personalized ventilation air"
Pollutant Exposure Reduction (PER),"An indicator of how much a particular ventilation or air distribution strategy lowers occupant exposure to airborne contaminants. It compares exposure levels with and without the intervention, offering insight into the effectiveness of personalized or localized ventilation solutions."
Predicted mean vote (PMV),"Predicted Mean Vote (PMV) is a thermal comfort index that quantifies the average thermal sensation of a group of people based on environmental and personal factors. It is calculated using air temperature, humidity, mean radiant temperature, air velocity, clothing insulation, and metabolic rate. PMV ranges from -3 (cold) to +3 (hot), with 0 representing neutral comfort, and is widely used in thermal comfort assessments"
Predicted percentage of dissatisfied (PPD),Predicted Percentage of Dissatisfied (PPD) is a thermal comfort index that estimates the percentage of people likely to feel uncomfortable in a given thermal environment. It is derived from the Predicted Mean Vote (PMV) and quantifies discomfort due to thermal deviations from neutrality. PPD ranges from 5% (optimal comfort) to 100% (extreme discomfort)
Predictive control system,"An advanced control methodology that uses models, forecasting algorithms, or real-time occupant data to anticipate changes in thermal loads or occupant needs. By adjusting HVAC or personalized environmental settings proactively, a predictive control system aims to maintain optimal comfort while minimizing energy consumption."
Preferred temperature,"The occupant’s chosen or desired thermal setpoint, reflecting individual comfort preferences. This temperature is typically identified through subjective feedback or adaptive behavior and can vary based on personal, physiological, or contextual factors."
Personalized zone,POZ is defined as an area of the occupied zone in a room consisting of the breathing zone and the personal working zone
Proximal body temperatures.,"Proximal body temperatures pertain to the temperatures measured on the central parts of the body, such as the torso or upper trunk. These measurements are more stable and reflective of the core body temperature, providing insight into the overall thermal status of the individual. In the context of local cooling, maintaining proximal temperatures within a thermo-neutral range is essential to preserve core thermal balance."
purging flow rate (PFR),"the Purging Flow Rate (PFR) refers to the rate at which air is supplied to a space to remove contaminants. This airflow is intended to displace stale air, ensuring the environment remains fresh by pushing pollutants away from the occupied zone. The effectiveness of the purging process depends on the magnitude of the PFR; a higher PFR results in a more efficient removal of contaminants, thereby enhancing air quality and occupant comfort"
radiant asymmetries,"Radiant asymmetries in thermal comfort refer to the unequal heating or cooling effects experienced by a person due to non-uniform radiant temperatures from different directions or sources. This can happen in an environment where one side of a space, such as a wall or window, is significantly colder or warmer than others, causing one side of the body to feel different from the other."
Rate of Perceived Exertion (RPE),"A psychophysical scale used to quantify an individual’s subjective perception of physical effort during activity. In a thermal or indoor environment context, RPE can also capture how environmental stressors (e.g., heat) influence the perceived intensity of exertion."
Real Environment,"The actual, non-uniform thermal setting where multiple heat transfer mechanisms (e.g., conduction, convection, radiation, and moisture evaporation) occur simultaneously across different body parts. In warm conditions, sweat production and evaporation further modulate the occupant’s overall and local thermal balance."
Reinforcement Learning,"Reinforcement Learning in control systems involves algorithms that learn to make decisions by interacting with a space or environment. RL controls aim to determine the optimal action to take in a given state to maximize the cumulative reward. In the context of environmental control systems, RL could optimize operations based on user feedback and environmental changes, continually improving system performance."
Re-inhaled Exposure Index,It assesses the proportion of exhaled air that an occupant re-inhales due to interactions between personalized airflow and exhalation jets. A higher index suggests less effective separation of inhaled and exhaled airstreams.
respiratory zone,"The respiratory zone refers to the region immediately surrounding an occupant’s breathing area. In the context of the ventilation analysis, it is the space from which occupants inhale air, making it a critical zone for assessing the exposure to contaminants and ensuring adequate fresh air delivery for maintaining indoor air quality."
Response Coefficient of Contaminant Source (RCCS),Response Coefficient of Contaminant Source (RCCS) quantifies the influence of a pulse-like contaminant release on the concentration observed at any given point. This index describes how variations in the contaminant source intensity translate into local changes in pollutant levels over time.
Response Coefficient of Supply Air (RCSA),"An index that captures the effect of variable contaminant concentrations in the supply air on a particular point within the space. Determined by releasing a “pulse” tracer gas at the supply inlet, RCSA quantifies how changes in the supply air concentration are reflected at the target location. A higher response coefficient implies that the supply air has a more pronounced impact on the local contaminant levels."
Resting energy expenditure (REE): metabolic rate of the body at rest,"The metabolic rate of the human body at rest, representing the baseline energy required to sustain essential physiological functions (e.g., respiration, circulation, and cellular processes). REE is typically measured in kilocalories per day or watts and forms the basis for estimating total daily energy needs."
Risk Quotient (RQ),"A dimensionless metric for evaluating potential hazards or exposures by comparing the measured or estimated level of a contaminant or stressor to a reference or threshold value. If RQ exceeds 1, it suggests a higher likelihood of adverse effects, warranting further investigation or mitigation."
Sensation of jet,"The immediate physical experience an occupant has when exposed to the cooling jet. This encompasses the tactile perception of the airflow—its speed, temperature difference, and directional impact—on the skin, which can either enhance comfort or lead to discomfort depending on its characteristics."
Single Objective Optimization (SOOP) problem,"A Single Objective Optimization Problem is an optimization problem that focuses on finding the best solution with respect to one specific objective or performance metric. The goal is to either maximize or minimize an objective function while satisfying any given constraints. This type of problem formulation is commonly used when a single criterion is of primary importance, making it simpler than multi-objective optimization scenarios where trade-offs between multiple criteria must be considered."
single segment models,Single segment models in thermal comfort are basic approaches that approximate the body’s response to thermal environments as a whole without differentiating between the body's various segments. These models typically use overall heat balance and a uniform set of physiological parameters to predict thermal sensation and comfort.
Skin temperature,"Skin temperature refers to the temperature of the outermost surface of the body, which is instrumental in human thermoregulation and thermal comfort assessments. It varies across different body parts and is influenced by both external environmental conditions (such as temperature, humidity, and airflow) and internal physiological factors (like metabolic rate)."
Skin Wetness,"A subjective or measured indicator of how moist the skin feels due to sweating. High skin wetness often correlates with heat stress or discomfort, while lower values typically indicate more moderate or comfortable thermal conditions."
Sleep Quality,"An assessment of how restful and restorative an individual’s sleep is, determined both subjectively (e.g., self-report questionnaires) and objectively (e.g., EEG-based analysis). Environmental factors such as temperature, humidity, and noise can significantly affect sleep quality."
Spatial Alliesthesia,"A form of alliesthesia wherein localized thermal stimuli (e.g., warming or cooling a particular area) counteract the overall body’s thermal state, yielding a pleasant sensation. This targeted approach can provide comfort even if the rest of the body is in a different thermal condition."
Specific Humidity at Contact Area,it is the water vapor content in the air layer (or microclimate) directly at the occupant–seat interface node. This parameter influences latent heat exchange through moisture transfer in the contact area.
Specific Humidity at Skin Surface,"it indicates the water vapor concentration immediately adjacent to or at the skin boundary, driving sweat evaporation and latent heat removal when air moves away or is absorbed by clothing or seating surfaces."
Specific Humidity of Environment,"it is the ambient moisture content of the indoor air. Along with temperature, it determines humidity-related comfort and influences sweat evaporation rates."
Standard effective temperature (SET),"Standard Effective Temperature (SET) is a thermal comfort index that quantifies the perceived temperature by representing a uniform environmental condition equivalent to the actual complex conditions experienced by a human. It incorporates factors like air temperature, humidity, air velocity, radiant temperature, clothing insulation, and metabolic rate, allowing for a comprehensive and standardized assessment of thermal comfort."
Stratum ventilation (SV),"Stratum Ventilation (SV) delivers conditioned air directly to the head level of occupants, creating a horizontal airflow at this level. This approach maintains a small temperature gradient within the occupied zone. By supplying air at elevated temperatures and higher velocities, SV allows for increased indoor air temperatures while still providing thermal comfort, thereby contributing to energy savings."
Supervisory control,"Supervisory control in PECS is described as a high-level control strategy that oversees and coordinates the operation of lower-level controllers. It monitors key performance indicators such as thermal and visual comfort, dynamically adjusting setpoints and control actions to ensure that the overall system performance meets the desired comfort and efficiency objectives."
SVE1,SVE1 represents the spatial average of contaminant concentration when pollutants are released from a single-point source. It provides an intuitive measure of how effectively the ventilation system dilutes contaminants throughout the indoor environment.
SVE2,"SVE2 quantifies the mean radius of contaminant diffusion, effectively characterizing the expansion range of the contaminant plume. A lower SVE2 value indicates a more confined spread, reflecting a more localized contaminant presence."
SVE4,"An index developed to quantify the influence of individual supply air inlets on local air distribution under steady-state conditions. SVE4 assesses how each inlet contributes to the ventilation performance at a specific point, thereby helping to optimize inlet placement and airflow patterns in the design of ventilation systems."
SVE5,"SVE5 uses a time-reversed tracing method to evaluate the contribution of individual exhaust openings in removing contaminants. This index captures the effectiveness of each exhaust point in drawing out pollutants, which is critical when multiple exhausts are present."
Target Segments,"Specific body regions intentionally exposed to thermal stimuli (e.g., hands, feet, back, or face) to enhance local and whole-body thermal comfort."
Temperature Drift,"Temperature drift refers to the gradual variation in ambient temperature over time due to environmental fluctuations, HVAC system adjustments, or natural heat exchange processes. It impacts thermal comfort and can influence how individuals adapt to changing indoor conditions."
Temporal Alliesthesia,"A form of alliesthesia associated with whole-body thermal changes over time. The pleasure response arises from moving toward a more comfortable thermal state, such as warming up after being cold or cooling down after being hot."
Themal acceptability,Thermal acceptability refers to the degree to which the thermal conditions provided by a system or environment are deemed comfortable or satisfactory by the occupants. It is a measure that reflects both subjective responses and objective indices of thermal comfort.
Thermal Pleasure / Positive Thermal AlliestheThermal Pleasure / Positive Thermal Alliesthesiasia,The subjective delight or pleasantness experienced when thermal stimuli effectively alleviate discomfort. It reflects the body’s heightened sensitivity to changes in skin temperature and underpins both temporal and spatial forms of alliesthesia.
Thermal Stimuli,"External factors such as heated surfaces, airflow, or cooling devices that influence the thermal state of the whole body."
Thermo-neutral Ambient Condition,"A thermo-neutral ambient condition is defined as an environment where the ambient temperature is set at a level that neither induces a warming nor a cooling response in the human body. This state is characterized by a balance between the body’s heat production and heat loss, resulting in a perception of thermal neutrality."
Thermoregulation model,"A mathematical representation of the human body's physiological processes that maintain its core temperature within a narrow range, despite varying environmental conditions."
Thermoregulation state identification mechanism,"A thermoregulation state identification mechanism is a method or system that monitors and evaluates both physiological and environmental data to classify the current thermal state of an individual (e.g., warm, neutral, or cool). This process typically involves the use of sensors and advanced algorithms (such as fuzzy logic, neural networks, or other AI techniques) to analyze data in real time, enabling dynamic adjustments in environmental controls to achieve or sustain thermal equilibrium and overall comfort."
Thermoregulatory response,"Thermoregulatory Response refers to the body's physiological mechanisms that maintain a stable internal temperature in response to environmental temperature changes. These responses include vasodilation (expanding blood vessels to release heat), vasoconstriction (narrowing blood vessels to retain heat), sweating (to enhance evaporative cooling), and shivering (to generate heat), allowing the body to adapt to thermal variations while preserving comfort and energy balance."
Total Air age,"An extension of the age of air concept that accounts for both the direct air delivery and the effects of air recirculation within the system. This index provides a comprehensive measure of how long air has been in the space, including contributions from recirculated air, thereby offering a more accurate representation of air freshness in complex ventilation scenarios."
turbulence intensity (TI),"Turbulence Intensity (TI) is a dimensionless parameter that quantifies the level of velocity fluctuations in a turbulent airflow relative to the mean velocity. It is commonly used in indoor air distribution, ventilation studies, and fluid dynamics to assess airflow stability and its impact on thermal comfort, pollutant dispersion, and ventilation efficiency.
 
 TI= (u' / U) x 100 (%)
 Where:
 u'(m/s) = Root Mean Square (RMS) of velocity fluctuations
 U (m/s) = Mean airflow velocity"
vasoconstriction,"Vasoconstriction is the physiological process in which blood vessels narrow to reduce blood flow to the skin and extremities, helping to retain body heat and maintain core temperature in cold environments. It is a key thermoregulatory response."
vasodilatation,"Vasodilatation is the widening of blood vessels to increase blood flow to the skin, promoting heat dissipation and helping to regulate core temperature in warm environments. It is a key thermoregulatory response"
ventilation air volume,"This is the total volume of fresh air supplied to a space over a given period, typically measured in cubic meters per second (or per hour). It is a key parameter in the design and evaluation of ventilation systems, ensuring that sufficient air is delivered to meet both thermal comfort and indoor air quality requirements."
Ventilation efficiency,"Ventilation Efficiency is defined as the relative effectiveness for contaminant removal compared with a fully mixed ventilation system. This index quantifies how well a given ventilation strategy dilutes or extracts contaminants, with values indicating the performance over the entire space or at specific zones relative to the ideal mixing condition."
Ventilation PECS,"PECS designed to improve localized air quality, airflow distribution, and/or thermal comfort by delivering conditioned, filtered, or fresh air directly to an occupant's breathing zone"
Pleasantness of environment,"A broader subjective judgment reflecting how agreeable the overall office environment is. This assessment goes beyond thermal factors to include influences from air quality, acoustics, lighting, and spatial layout, contributing to an environment that is experienced as comfortable and satisfying."
Protection efficiency,"protection efficiency refers to the system's ability to shield occupants from environmental factors such as temperature extremes, pollutants, and drafts. PECS can achieve high protection efficiency by delivering conditioned air directly to the occupant's breathing zone, thereby enhancing thermal comfort and air quality."
Vertical Jet Exposure,The condition in which an occupant is exposed to a cooling air jet that is directed vertically (either descending from the ceiling or ascending from the floor). This type of exposure affects the localized thermal sensation experienced by the individual and is evaluated in terms of its influence on both comfort and work performance.
volumetric exhaust flow rate,"This represents the volume of air removed from a space by the exhaust system per unit time, measured in similar units as the ventilation air volume. It is essential for maintaining proper air exchange, removing contaminants, and balancing the indoor pressure within the space."
wall attached ventilation,"Wall-attached ventilation is a method of air distribution in which conditioned air is directed towards a vertical surface, creating a controlled airflow pattern that moves downwards, then spreads across the floor. This technique combines aspects of both displacement and mixing ventilation, forming a clean air layer at the floor level"
Whole - Body equivalent temperature,"Whole-body equivalent temperature is defined as the temperature of an imaginary enclosure where the air temperature and surrounding surface temperatures are uniform, and there is no air movement. In this scenario, a human-shaped sensor or manikin would exchange the same amount of dry heat by radiation and convection as it would in the actual, more complex environment being assessed. This concept is crucial for evaluating thermal comfort in various settings because it simplifies complex, real-world thermal conditions into a single, measurable value that reflects the overall heat exchange of the body​"
Whole-Body Discomfort,"The overall experience of thermal strain or dissatisfaction, resulting from an imbalance between local discomforts across different body regions. Whole-body discomfort can arise when certain critical body segments (e.g., extremities or the torso) experience excessive warmth or cold, even if other areas remain neutral. Persistent whole-body discomfort may drive behavioral or physiological responses, such as clothing adjustments or seeking external heating/cooling sources."
Whole-Body Thermal Comfort,"The overall perception of thermal acceptability across the entire body, influenced by the combined effects of local thermal comfort across different body segments. Whole-body thermal comfort is achieved when the body experiences a thermal state where no strong discomfort signals arise from any specific region. However, it is not necessarily the sum of individual local thermal comforts, as some body regions have a greater influence than others. A mismatch between local and whole-body comfort can occur when certain areas (e.g., hands or feet) feel too warm or too cold, even if other regions remain neutral."
Whole-Body Thermal Sensation,"The subjective perception of overall warmth or coolness, integrating thermal inputs from local sensations across different body segments. Whole-body thermal sensation does not always align with whole-body comfort, as an individual may feel slightly warm or cool while still being comfortable. This sensation is typically assessed using standardized thermal scales (e.g., from ""cold"" to ""hot"")."
Whole-Body Thermal State,"The physiological and perceptual condition of an individual in response to thermal stimuli, determined by core body temperature, local skin temperatures, and thermoregulatory responses (such as vasodilation, vasoconstriction, sweating, or shivering). The whole-body thermal state is dynamic, continuously adjusting based on environmental conditions, metabolic activity, and behavioral adaptations."